Actual Weight,Actual Width,Actual Height,Actual Length
5.3,36.0,18.0,85.0
16.0,52.0,6.0,132.0
21.0,5.0,94.0,31.0
20.0,20.0,90.0,145.0
13.5,81.0,30.0,58.0
13.5,81.0,30.0,58.0
57.2,53.0,231.0,21.0
13.5,81.0,30.0,58.0
5.0,6.0,6.0,104.0
17.0,36.0,47.0,183.0
39.0,38.0,99.0,65.0
5.86,44.0,28.0,71.0
79.0,75.0,220.0,31.0
19.0,13.0,38.0,127.0
19.0,13.0,38.0,127.0
3.18,15.0,11.24,115.0
18.0,45.0,25.0,69.0
75.0,78.0,48.0,135.0
19.0,13.0,38.0,127.0
2.0,38.0,30.0,50.0
17.0,103.0,15.0,65.0
19.8,62.0,9.0,122.0
10.0,30.0,83.0,19.0
21.0,30.0,83.0,19.0
10.5,65.0,20.0,140.0
6.0,30.0,83.0,19.0
20.0,31.0,31.0,116.0
7.0,31.0,31.0,116.0
15.0,35.0,83.0,65.0
20.0,32.0,83.0,19.0
27.0,39.0,125.0,35.0
5.5,26.0,5.0,82.0
32.0,38.0,39.0,135.0
30.0,39.0,31.0,156.0
7.0,31.0,31.0,116.0
45.0,39.0,56.0,135.0
20.0,19.0,15.0,25.0
20.0,65.0,18.0,116.0
14.0,33.0,85.0,10.0
32.0,55.0,110.0,38.0
100.0,45.0,110.0,55.0
151.0,99.0,76.0,125.0
10.0,25.0,110.0,65.0
168.0,70.0,155.0,105.0
16.0,40.0,25.0,85.0
10.5,40.0,70.0,30.0
195.0,160.0,85.0,75.0
1.9,28.0,72.0,18.0
72.6,71.0,102.0,73.0
61.0,75.0,99.0,56.0
1.0,9.0,40.0,50.0
15.0,72.0,20.0,72.0
36.0,75.0,110.0,65.0
40.0,60.0,30.0,94.0
11.4,35.0,82.0,57.0
8.0,52.0,13.0,80.0
40.0,45.0,62.0,95.0
43.0,56.0,84.0,56.0
5.0,10.0,10.0,80.0
34.5,100.0,25.0,187.0
34.5,100.0,25.0,187.0
25.0,65.0,31.0,110.0
40.0,35.0,23.0,243.0
18.0,40.0,25.0,166.0
10.0,20.0,20.0,80.0
23.5,68.0,18.0,88.0
10.0,52.0,13.0,79.0
8.0,39.0,39.0,75.5
0.3,19.0,12.0,20.0
6.0,36.0,83.0,52.0
2.0,2.0,2.0,64.0
50.0,20.0,65.0,55.0
60.0,35.0,50.0,90.0
20.0,193.0,93.0,41.0
47.0,40.0,30.0,77.0
1.0,200.0,100.0,100.0
41.0,38.0,48.0,139.0
8.0,90.0,80.0,20.0
24.0,125.0,32.0,39.0
10.5,41.0,12.0,123.0
12.0,35.0,120.0,45.0
28.0,28.0,20.0,98.0
5.0,40.0,40.0,90.0
50.0,90.0,80.0,50.0
20.0,30.0,100.0,15.0
17.0,6.0,17.0,94.0
30.0,65.0,95.0,75.0
0.1,4.0,4.0,120.0
60.0,60.0,88.0,78.0
10.0,60.0,4.0,125.0
42.2,53.0,86.0,21.0
43.2,53.0,86.0,21.0
13.7,93.0,14.0,190.0
46.2,53.0,83.0,43.0
18.0,42.0,86.0,53.0
6.0,30.0,20.0,100.0
5.0,60.0,2.0,125.0
28.0,56.0,47.0,60.0
17.0,130.0,55.0,12.0
14.0,30.0,30.0,140.0
12.0,7.0,61.0,127.0
12.0,7.0,61.0,127.0
12.0,7.0,61.0,127.0
20.0,30.0,11.0,183.0
14.0,63.0,11.0,149.0
12.0,7.0,61.0,127.0
7.2,35.0,6.0,130.0
35.0,5.0,6.0,6.0
45.0,72.0,20.0,95.0
20.0,65.0,18.0,110.0
12.8,47.0,36.0,88.0
41.0,65.0,38.0,110.0
15.0,15.0,75.0,40.0
19.0,13.0,38.0,127.0
19.8,62.0,9.0,122.0
29.0,42.0,15.0,85.0
35.0,42.0,15.0,85.0
46.7,57.0,93.0,48.0
1.51,32.0,11.5,49.5
1.49,4.0,35.0,20.0
19.0,65.0,14.0,134.0
21.0,99.0,38.0,38.0
5.433,52.0,14.0,80.0
24.29,5.0,6.0,6.0
7.272,41.0,20.0,63.0
10.0,5.0,15.0,10.0
18.0,10.0,20.0,30.0
12.0,45.0,25.0,45.0
26.0,35.0,70.0,40.0
0.981,32.0,8.5,47.0
16.0,50.0,25.0,55.0
30.0,26.0,9.5,43.5
10.0,70.0,60.0,100.0
25.0,33.0,33.0,36.0
50.0,20.0,55.0,35.0
18.0,40.5,15.0,48.5
16.0,14.0,11.0,20.0
0.7,14.0,11.0,20.0
22.0,31.0,85.0,56.0
20.0,25.0,55.0,45.0
1.132,28.5,10.0,42.0
18.0,29.0,11.0,42.0
41.0,65.0,65.0,65.0
18.0,19.5,12.0,32.5
30.0,15.0,30.0,25.0
